segment_280|Vậy nhưng bản tính tham tàn với tâm địa nhỏ nhen ích kỷ, nên đối diện với tin bà cụ vừa lìa đời, gã lại cảm thấy rất hả hê.
segment_281|Bàn tính mấy câu, hai gã đạo trích lại bảo nhau quay về nhà, vì đêm nay không thể hành sự.
segment_282|Trên đường về, danh bàn với Tái, sẽ nhân lúc đám ma hỗn loạn để lẻn vào trộm vàng.
segment_283|Nhưng tái đã cản ngay, dù chính gã cũng đang rất thèm tiền, vì việc làm ấy manh động quá, dù để gia chủ phát giác thì chỉ có nước mà bêu đầu làm gương.
segment_284|Trong khi hai gã còn đang ủ mưu tính kế thì tại nhà ông bá Kiệm, đám ma đượm buồn đã bắt đầu diễn ra.
segment_285|Chưa bao giờ người ta thấy đám ma nào có quy mô và đông người đến cúng điếu đến thế.
segment_286|Có thể nói, bà cụ thân sinh rong bá là một người tốt bụng, sống có tình cảm và vô cùng nhân nghĩa.
segment_287|Trong thôn được lòng rất nhiều người, nên khách khứa đến chia buồn đông hơn ngày đón quan trạng vinh quy.
segment_288|Cỗ bàn bày ra hơn trăm mâm, gia chủ đứng đầu là ông bá, thân mặc áo xô gai, đầu quấn khăn tang trắng cùng vợ con đứng đáp lễ.
segment_289|Vậy mà từ sáng đến tận chiều, đoàn khách đến phân ưu vẫn chưa có dấu hiệu hạ nhiệt.
segment_290|Sau khi quản linh cữu trong nhà đủ năm ngày theo tập tục làng này,
segment_291|đúng chiều ngày thứ sáu tính từ khi bà cụ Nhâm chết, ông thầy cúng mới cho di quan đem ra đồng chôn vì đến giờ hoàng đạo.
segment_292|Trong khi Danh đang say bí tỉ và ngủ vùi tại căn nhà tranh, thì tái vì không cam tâm nên mò sang đám ma một lần nữa.
segment_293|Chẳng khó khăn để gã chen lẫn vào đám đông đang thương tiếc đi tiễn đưa cụ bà ra đồng.
segment_294|Tái trà trộn rất mau lẹ vào đám tang, nhưng không ra mặt công khai, bởi không thân thiết với gia đình người quá cố.
segment_295|Khi đoàn người ra tới nghĩa địa, đặt quan tài cạnh cái huyệt đã đào sẵn, thì gã lảng vảng xa xa để quan sát nhằm xác định vị trí.
segment_296|Là một kẻ cáo giả tâm cơ, tái núp sau một ngôi mộ lớn xây bằng đá cẩm thạch có mộ bia cao, chăm chú theo dõi.
segment_297|Để an toàn hơn, gã còn giả tảng tìm một ngôi mộ cách chỗ đám ma không xa, thắp mấy cây nhang, làm bộ khấn vái y như đang ra viếng mộ cho ngày dỗ của một người thân.
segment_298|Chờ đám người nhà ông bá Kiệm, ném nắm đất tiễn biệt và đội tang lễ hất đất đắp mộ xong.
segment_299|Mày, mày bảo sao? Đào mộ trộm á?"
segment_300|Tái hoảng hốt bịt miệng bạn ra hiệu nhỏ giọng, sau đó mới thì thầm.
segment_301|Nhác thấy đám người làng cũng tản mác đi hết,
segment_302|Có chuyện gì mà gấp gáp thế?"
segment_303|"Ban nãy tao sang làng ấy dò la, thấy người ta kháo nhau, quan tài con mụ ấy táng theo lắm vàng bạc lắm.
segment_304|gã mới yên tâm đứng lên, giáo giác đảo mắt nhìn khắp lượt địa hình, trong đầu đã có một dự tính cay độc.
segment_305|Tái ghé tai danh thì thầm điều gì rất lâu, chỉ thấy danh đột nhiên mở trừng mắt.
segment_306|Tao nghĩ cũng phải, nhà lão bá tiền bạc ức vạn, giàu vô số kể, lão lại có tiếng là đứa con có hiếu, kỳ này á, có mà lão táng theo ối vàng bạc cho mà xem.
segment_307|Dưới lớp da đen sạm, từng đám gân xanh nổi dựng lên như một con rết.
segment_308|Lao nhanh về nhà, tái dựng ngay bạn dậy bằng một giọng đầy hối thúc.
segment_309|Gã thẳng thốt hỏi lại.
segment_310|Dậy, dậy ngay, sắp phát tài rồi."
segment_311|Đầu óc còn quay cuồng vì hơi rượu nặng, Danh nhíu mày rên khe khẽ rồi nói:
segment_312|Không tin cứ chặt cái đầu thằng tái này xuống đất.
segment_313|Nhà nó bây giờ người ta vào ra đông lắm.
segment_314|Nếu đường đó đã không chót lọt thì chi bằng mình cứ khai quan bật quách rồi lột hết của nả đi.
segment_315|Biết đâu lại vớ đẫm chứ chẳng đùa."
segment_316|Sau khi nghe xong kế hoạch quật mả trộm vàng,
segment_317|đắn đo một lúc, danh cũng gật đầu đồng tình.
segment_318|Đêm đó, sau khi chuẩn bị hành trang, hai gã đạo trích đã băng tắt qua cánh đường đồng.
segment_319|Tìm về nghĩa địa làng để đào mộ cuốc mả.
segment_320|Mới vừa đặt chân lên khuôn viên đất thánh thì trời lại bắt đầu mưa rả rích.
segment_321|Cơn mưa tuy không lớn lắm, nhưng cũng khiến không khí nghĩa địa đêm như tăng thêm phần nào heo hút, và gió càng lúc càng thổi mạnh bạo, rít lên như tiếng người than vãn trong đêm trường.
segment_322|Cái lạnh đã bắt đầu ngấm thân, danh và tái rụt cổ trong manh áo mỏng, xốc lại cái sọt đồ nghề, bên trong lỉnh kỉnh một cái xà beng, đôi cuốc sắt, một bình rượu trắng,
segment_323|đoạn xăm xăm tiến lại mả bà cụ theo chỉ dẫn của Tái.
segment_324|Nghĩa trang làng vào lúc ban ngày đã ít người lai vãng, nay nhằm lúc trời tối lại còn mưa gió thì chẳng
segment_325|còn sự xuất hiện của bất cứ ai.
segment_326|Tiếng ếch kêu ồm oạp và ma mị nơi cánh đồng,
segment_327|hòa cùng từng hồi sấm đi đùng, làm hai kẻ cứng bóng vía cũng cảm thấy hơi chờn.
segment_328|Nhưng nghĩ tới số vàng được táng trong mộ,
segment_329|nghĩ tới tương lai giàu sang hiện hữu, nên hai tên này càng thêm phần quyết tâm hơn.
segment_330|Đạp qua hàng loạt ngôi mộ đắp thấp,
segment_331|danh cùng tái xăm xăm rảo bước cùng từng luồng chớp lập lòe rền vang.
segment_332|Khuôn viên nghĩa địa này vốn ẩm thấp vì nằm ở địa thế trũng hơn so với cánh ruộng.
segment_333|Nay lại gặp trời mưa nên bùn lầy đã bắt đầu nhão ra, quấn chặt lấy đôi chân trần đen đúa.
segment_334|Vài lần như thế khiến danh phải dừng lại, giơ chân gạt lên một bia mộ để trôi bớt sình lầy.
segment_335|Riêng tái vì men theo vạt cỏ nên bước đi có chiều mau lẹ hơn.
segment_336|Mất chừng nửa khắc sau, ngôi mả mới đắp của bà cụ nhâm đã hiện ra trước mắt.
segment_337|Mà đất nằm ở một vùng trũng, trên có hàng chục vòng hoa viếng màu trắng đã héo rũ.
segment_338|Nó đây rồi, ngôi mà chôn thay bà già ấy.
segment_339|Đang tính quay lại đưa cho danh, chợt tái giật thót mình, hoảng kinh quay lại khi nghe tiếng rú khe khẽ của bạn.
segment_340|Tái reo lên khe khẽ rồi nhảy tới gần mả đất.
segment_341|mình phải đào thật nhanh, khai quan bật quách thật lẹ,
segment_342|Đưa tay vuốt mặt để đám nước mưa bám trên đó vơi bớt.
segment_343|Tao đã quan sát rồi, mà đất này sâu tầm nửa trượng,
segment_344|vì hôm nay là ngày thất tuần của mụ ấy.
segment_345|Trong khi đó, tái vội vã đổ nhanh sọt đồ nghề ra đất,
segment_346|Danh cũng đã tiến vội lại, đăm đăm nhìn ngôi mộ còn sốc lên hương đất mới.
segment_347|Danh gật đầu đồng tình.
segment_348|Nhà lão bá tất kéo nhau ra cúng tạm mộ từ sớm.
segment_349|Làm đi, lấy đồ nghề ra nhanh lên.
segment_350|nếu đào nhanh cũng phải mất đứt một canh giờ.
segment_351|Xah mét mặt mày, tái hoảng hốt gắt.
segment_352|chộp lấy hai cái cuốc, một cho mình, một cho bạn.
segment_353|Không nhanh kẹo bị phát hiện là toi cơm.
segment_354|Vừa nói, danh vừa đứng dậy kéo mấy vòng hoa ra khỏi ngôi mả để tìm chỗ đào huyệt.
segment_355|Đợi tới sáng còn bốn thời tần nữa,
segment_356|Hạ nhanh cái sọt đồ nghề xuống,
segment_357|tái kéo danh ngồi lại rồi thì thầm.
segment_358|Cái gì thế? Đi đào mộ mà mày gào toáng lên thế, để kéo cả làng ra à?
segment_359|Phập, con rắn độc rít lên, quằn quại trên nền mộ, thân thể đã đứt lìa làm hai sau cú bổ oan nghiệt đó.
segment_360|Nhát bổ cật lực lần này làm đầu con rắn bị nát bét,
segment_361|Nhưng bằng bản tính không kiêng nể điều gì,
segment_362|Vừa nói xong, tái cũng nhận ra một việc kinh hoàng.
segment_363|Bị động, con rắn độc ngóc đầu lên cao, mang bạnh ra bằng bàn tay với tiếng rít phì phì như muốn mổ chết hai kẻ to gan.
segment_364|tái vung ngay cây cuốc, băm bổ thẳng vào thân con rắn độc làm nó đứt đôi.
segment_365|máu tươi ọc ra đỏ ối một khoảng đất lạnh.
segment_366|Ngôi mả của bà cụ chôn tại một khoảng đất rất ẩm áp,
segment_367|Và trong khi danh còn chưa kịp phản ứng thì tái đã băm bổ một lần nữa.
segment_368|trên mộ đắp rất nhiều vòng hoa.
segment_369|Có lẽ đám rắn độc đã mò về chú ngụ, nên khi danh mới kéo được một vòng hoa viếng ra xa,
segment_370|gã đã thất kinh khi nhận ra một con rắn hổ mang thân dài bằng cái đòn gánh đang cuộn mình nằm trên mộ.
segment_371|Cầm xác con rắn trên tay, tái cười khẩy, có thế mà cũng rú lên, còn đòi bật quan trộm bảo.
segment_372|Gã hùng hục xắn từng xẻng đất nhão, bỏ vào thúng rồi nghiến răng chuyển lên.
segment_373|gió cũng bắt đầu vồn vột tốc lên và chớp cũng giật liên hồi không ngớt.
segment_374|Tầm nửa canh giờ trôi qua, cả hai bắt đầu đổi chiến thuật.
segment_375|Cả hai nín thở cắm đầu làm một hơi, tuyệt không thốt lên một tiếng nào như chạy đua với thời gian.
segment_376|Xác định vị trí cần đào, hai gã hít mạnh một hơi, đoạn bắt tay ngay vào công việc.
segment_377|Danh hơi ngượng, song cũng tiếp tục cùng bạn dọn hết đám vòng hoa.
segment_378|Bên trên bờ, danh toàn phắt đổ từng thúng đất sang hai bên rồi lại chuyền ngay xuống dưới và chờ đợi.
segment_379|Tái nhảy hẳn xuống lỗ huyệt cùng một cái xẻng và một cái thúng.
segment_380|Đất bùn gặp nước mưa dính bết vào lưỡi cuốc, làm động tác của hai gã có phần nặng nhọc thêm.
segment_381|Trong thoáng chốc, mả đất đã phơi mình dưới cơn mưa rả rích và từng hồi sấm động liên thanh.
segment_382|Cơn mưa giả rích ban nãy đã có chiều nặng hạt,
segment_383|Hai cái cuốc vung lên cật lực thi nhau bổ xuống, lật từng nắm đất lên rất nhanh.
segment_384|Phải, xắn thêm đất chỗ này rồi lựa thế bật nắp ván tiên nhanh lên.
segment_385|Hai gã phối hợp thoan thoát nên rất nhanh, cái lỗ huyệt hình chữ nhật càng lúc càng được đào sâu hơn.
segment_386|Nghiến răng dồn lực,
segment_387|Đụng nắp hòm rồi hả?
segment_388|đôi bàn tay to bè của tái vẫn cào xoàn xoạt để gạt đám đất nhão nhoét còn bám trên nắp ván.
segment_389|Danh hỏi bằng giọng hơi lạc đi vì hồi hộp.
segment_390|Ở trên bờ, danh cuống cuồng kéo lê cái xả beng nặng chịch, tuồn xuống cho đồng bọn rồi gã cũng lựa thế nhảy xuống.
segment_391|Danh vội vã làm theo,
segment_392|Cắm cái xẻng sang bên cạnh, gã quỳ vội xuống, đưa tay vét đất bùn,
segment_393|chẳng mấy chốc đã xắn thêm được một khoảng đủ để hai gã có thể thoải mái đứng kê xà beng vào.
segment_394|Và đúng như tái đã tính toán,
segment_395|Tái lau nhanh mớ nước mưa đang ướt đẫm mặt mũi rồi gật đầu.
segment_396|đúng một canh giờ sau, tiếng xẻng chạm vào gỗ phát ra tiếng cộp khô khốc, làm gã rú lên khe khẽ.
segment_397|rồi vội đứng dậy gọi.
segment_398|Đụng nắp hòm rồi, đem cái xả ben xuống đây nhanh lên.
segment_399|Qua mấy lần như thế, nắp quan tài đã lộ ra một màu sơn son thiếp vàng còn mới cứng,
segment_400|danh buông cái xà beng, kéo tái ngồi thụp xuống và nín thở chờ đợi.
segment_401|Bởi lẽ, trong một thoáng giây nào đó, cả hai đều nghe thấy tiếng lẹp bẹp như tiếng chân ai đang đạp trên bùn non.
segment_402|Bắt gặp hai thân người ướt như chuột lột, đang ngẩng mặt nhìn mình,
segment_403|Tái cũng đã nhận ra điều gì nên há hốc mồm, đứng chết chân tại chỗ,
segment_404|Vậy nên mới nghe thấy tiếng bước chân dù là rất nhẹ, cả hai đã chết cứng tại trận.
segment_405|dưới ánh chớp sáng rực.
segment_406|Nhưng đúng lúc đó, cả hai chợt nhẹ nhõm thở vào, vì thấy từ trên bờ đất có một con mèo đen thò mặt ngó xuống.
segment_407|Sau khi xác định vị trí, tái lệnh.
segment_408|Giây phút hoảng kinh trôi qua rất nhanh,
segment_409|Nhanh lên, cái xả beng vào đây.
segment_410|Chọn một kẽ hở mà tái đã chỉ điểm,
segment_411|danh bặm môi, nghiến chặt răng, thọc thật sâu đầu dẹp của xà beng vào,
segment_412|nhưng chưa kịp bẩy lên thì bỗng nhiên gã dừng lại, hoảng hốt ngẩng đầu lên trên.
segment_413|mắt trừng trừng nhìn lên trên nền trời lập lòe chớp trắng.
segment_414|Đào trộm mộ đêm là việc làm sinh tử, không cẩn thận có khi là bay đầu.
segment_415|con mèo cũng bất ngờ hoảng kinh, nó cắm đầu bỏ chạy, để lại một tiếng kêu thất thanh đến chói óc.
segment_416|Danh còn đu cả người lên để tăng thêm sức bật.
segment_417|Mẹ tiên sư, con mèo quỷ làm tao hết cả hồn.
segment_418|Cái xà beng nặng nề là thế, nay cong xíu như thân tre.
segment_419|Nhanh lên, lại đây phụ tao, chúng nó đóng đinh chặt quá.
segment_420|Lóp ngóp tiến lại cạnh bạn, cả hai cùng nhau vận sức.
segment_421|Danh cũng mạnh dạn đứng lên, đoạn tiếp tục quay lại công việc bật quan tài còn đang làm dở.
segment_422|Nắm chặt một đầu xà beng, gã nghiến răng dồn lực,
segment_423|quai hàm bạnh ra,
segment_424|nhưng khốn nạn thay, cỗ áo quan quản thây bà cụ làm từ gỗ tốt, đinh đóng rất chặt nên lo hoay mãi cũng không suy chuyển.
segment_425|Tiếng đinh đóng hòm đã bắt đầu rít lên từng tiếng nặng nhọc.
segment_426|Rít, kẹt, rắc rắc.
segment_427|1 2 3
segment_428|Từng cái đinh một bật lên cùng tiếng siết mạnh bạo.
segment_429|Kịch.
segment_430|Đám đinh bị gãy sạch, cuốn theo cái nắp ván thiên bật tung ra.
segment_431|Giữ im đấy.
segment_432|Tái nói như ra lệnh, sau đó thọc cán xẻng vào khe hở để làm chêm.
segment_433|Mùi thối giữa của tử thi đang trong quá trình phân hủy, theo không khí thoát ra ngoài, bốc lên nồng nặc.
segment_434|Sau đó cả hai tiếp tục bênh cây xả beng lên.
segment_435|Tiếng kim loại tiếp tục siết vào thứ gỗ rít lên ken két đến rợn óc.
segment_436|Những chiếc đinh bật ra theo dây chuyền,
segment_437|danh hít một hơi căng lồng ngực, nghiến răng trừng mắt.
segment_438|Ngay lập tức, hai gã đào mộ buông cây xả beng, quay mặt đi để tránh thứ mùi lợm giọng đó.
segment_439|Mùi thịt người chết mấy ngày khác xa với những động vật khác.
segment_440|Nó quyện đặc dư vị ngai ngái của thịt ươn,
segment_441|hôi hám của máu mủ, khối khắm của phân và nước tiểu, lại trộn lẫn hương gỗ mới và mùi tanh tanh của bùn non,
segment_442|tạo thành một thứ dư vị cực kỳ tởm lợm.
segment_443|Dù đã cố gắng bịt chặt mũi mồm, nhưng cả hai vẫn nôn ói ồng ộc.
segment_444|Trong làn nước mắt,
segment_445|tái thều thào nói trong cảm giác kinh hồn.
segment_446|Lên, lên lên bờ đã, chờ cho mùi này bớt đi rồi mò vàng cũng không muộn.
segment_447|Mò đi, mò luôn tái ơi.
segment_448|Xé nhanh manh áo quấn quanh mồm miệng, một mảnh đưa cho bạn.
segment_449|Để người nhà lão bá ra đây bây giờ bắt gặp chúng mình thì có bị phanh thây ra mất.
segment_450|Dù cơ bụng đang quặn lên từng cơn sau khi nôn ra mật xanh mật vàng,
segment_451|thậm chí hơn lúc nào hết, danh cũng muốn thoát ngay khỏi lỗ huyệt này,
segment_452|nhưng vì đang sống chết chạy đua với thời gian, gã vẫn bấu chặt tay bạn rồi nói.
segment_453|Không được, chờ mùi tan hết thì có mặt tới sáng.
segment_454|Cảm giác tởm lợm không ngừng dâng lên, nhưng tái vẫn đủ tỉnh táo để thấy lời bạn nói có lý.
segment_455|Danh bắt đầu dùng sức để đẩy nắp ván thiên sang một bên.
segment_456|Sấm vẫn đánh đùng đoàng, mưa vẫn rào rào rơi và chớp vẫn soi rọi xuống lỗ huyệt.
segment_457|Và ngay khi nắp ván rơi ra, danh đã đối diện với gương mặt người chết.
segment_458|Dưới làn mưa ầm ầm và từng luồng sáng trắng xanh,
segment_459|xác của bà cụ Nhâm đã lộ rõ mồn một.
segment_460|Danh vội quay đi vì không muốn đối diện với cảnh tượng tang thương ấy.
segment_461|Quan tài bà cụ Nhâm mới hạ thổ sáng nay,
segment_462|nhưng vì mả đất nằm sát bờ ruộng,
segment_463|
segment_464|lại nằm ở vùng trũng,
segment_465|thêm việc mưa lớn đang ầm ầm trút xuống,
segment_466|vậy nên xác thân quấn vải liệm đã bị nước ngập vào lưng lửng.
segment_467|Giờ này nhìn cái xác dập rềnh nằm đó, chẳng riêng gì danh mà kẻ to gan như tái cũng cảm thấy hơi chờn.
segment_468|Sáu ngày quản trong nhà để tổ chức tang ma, nên cái xác bà cụ đã bắt đầu trương phình lên, đôi chỗ da thịt cũng bắt đầu phân hủy.
segment_469|Máu mủ và mỡ người gặp nước mưa lan ra, tạo thành một lớp váng màu vàng nhạt.
segment_470|Mùi hôi thối tởm lợm hòa cùng nước mưa quyện đặc vào mũi, làm hai gã đào mộ gập người ói mửa lần hai.
segment_471|Qua cơn lợm giọng, cả hai bắt đầu mò mẫm tìm vàng.
segment_472|Ban đầu danh đề nghị lôi xác bà cụ nhâm ra để tiện cho việc mò mẫm.
segment_473|Nhưng danh cản lại ngay vì lòng huyệt chật chội quá.
segment_474|Cực chẳng đã, cả hai cứ áp sát mặt vào xác chết.
segment_475|Thọc tay xuống lần mò.
segment_476|Thứ nước dịch của máu mỡ bám lấy cẳng tay, cảm giác nhớp nháp làm cả hai khẽ ớn óc.
segment_477|Và đúng như tái đã nghe ngóng, bên dưới cái xác nổi lềnh phềnh chứa cơ man, nào là châu báu.
segment_478|Từng nắm vòng ngọc được vớt lên, bốn cái hũ sành nặng nề nơi đáy quan tài cũng được tái đem đặt ngay cạnh hòm.
segment_479|Thêm hai cái hũ khác để hai bên hông và một hũ cũng đầy ắp bằng khối kê ở dưới đầu bà cụ.
segment_480|Từng hũ vàng lần lượt được móc lên, tiếng nước rơi rào rào trong niềm hân hoan của hai gã trộm mộ.
segment_481|Sau khi chắc rằng toàn bộ của báu đã được moi lên,
segment_482|Tái dục danh tức tốc leo lên bờ.
segment_483|Nhưng đột nhiên, danh khựng lại vì sực nhớ ra một điều.
segment_484|Khoan đã!
segment_485|Con gọng già này khi sống thường đeo một chuỗi vòng ngọc.
segment_486|Tao nghe nói chuỗi vòng ấy làm từ thứ ngọc đế vương và có giá trị liên thành.
segment_487|Sinh thời mụ già nâng niu nó như báu vật.
segment_488|Cái nào chết mà người nhà chả chôn theo.
segment_489|Mày lên trên bờ, lấy cho tao con dao xuống đây.
segment_490|Đoạt được cái vòng đó thì số của báu này chẳng đáng một xu.
segment_491|Tái gật đầu, lựa thế bám lấy thành huyệt rồi nhảy phắt lên trên bờ.
segment_492|Lát sau nhảy xuống cùng một con dao sắc lẹ.
segment_493|Đón lấy con dao từ tay bạn.
segment_494|Danh ngồi xổm, một tay giữ chặt cái xác đang lềnh phềnh.
segment_495|Tay kia thoăn thoắt rạch lớp vải liệm đã ướt đẫm.
segment_496|Nhưng chẳng biết vội vã thế nào, hay do tiếng sét đánh xuống đinh tai mà gã sảy chân lộn cổ vào trong lòng quan tài, bất ngờ đè lên xác chết.
segment_497|Máu mỡ của thây ma dính bết lên người, và trong cơn hoảng loạn vùng vẫy, danh vô tình nuốt vào vài ngụm chất dịch chứa đầy váng mỡ đó vào trong bụng.
segment_498|Hắn kinh hãi bật lên, gập bụng, móc họng, đoạn lấy hết sức bình sinh mà bò lết lên khỏi lỗ huyệt.
segment_499|Lao nhanh tới khoảng ruộng gần đó, danh lăn lộn trong đám nước đọng lại tại vũng trâu đầm, cốt để cho cái thứ máu mỡ đó trôi đi.
segment_500|Ở dưới huyệt mộ, tái vì tham lam nên vội ngồi xuống, dùng tay trần xé toạc lớp vải liệm và thọc tay lần mò, nhưng mò mãi chẳng thấy cái vòng ngọc đâu.
segment_501|Bực mình, gã bám lấy bờ đất.
segment_502|Thấy danh toàn thân ướt đẫm sình lầy, đang lóp ngóp tiến lại.
segment_503|Tái gọi giật giọng.
segment_504|Nhanh lên, phụ tao chuyển vàng lên, không thấy cái vòng ngọc đâu cả.
segment_505|Danh lết lại gần rồi yếu ớt đồng tình, bắt đầu đón lấy từng hũ vàng mà tái đang chuyển lên.
segment_506|Chuyển xong ngũ vàng cuối cùng, tái lựa thế bám lấy thành huyệt rồi dồn hết hơi tàn, định nhảy phắt lên.
segment_507|Nhưng vừa thò đầu khỏi hố huyệt, chợt một tiếng cộp vang lên rất to.
segment_508|Ngay lập tức tái rú lớn, ngã vật ra sau.
segment_509|Nằm lọt thỏm vào lòng quan tài.
segment_510|Cơn đau từ đỉnh đầu nhanh chóng lăn ra, khiến tứ chi gã vô lực và
segment_511|từ vị trí nơi vết đau khởi nguồn đó, có một dòng máu tươi không ngừng ộc ra.
segment_512|Tái ú ớ méo hết mồm miệng.
segment_513|Hoảng kinh khi thấy danh đã đứng trên bờ đất, trong tay là một hòn đá còn thấm máu đào.
segment_514|Bằng chút sức lực cuối cùng, tái khiếp đảm rú lên.
segment_515|Mày, mày.
segment_516|Trên bờ đất, danh bật cười sằng sặc, ném nhanh hòn đá xuống, danh chồm tới gần huyệt mộ và nở một nụ cười khả ố.
segment_517|Đồ ngu, làm chó gì có cái vòng ngọc nào?
segment_518|Phải rồi, là tao lừa mày đấy.
segment_519|Có thế thì tao mới thoát thân an toàn, rồi đứng đây phục sẵn chứ.
segment_520|Tao đã từng bảo bao lần rằng trước sau gì mày cũng chết vì tham mà mày không nghe tao.
segment_521|Thôi nhá, xin vĩnh biệt.
segment_522|Mày chết rồi thì bí mật này mới không ai hay.
segment_523|Yên tâm, ngày này năm sau, tao sẽ đốt vàng mã cho mày đầy đủ.
segment_524|Ngay sau tràng cười lạnh gáy đó, danh bắt đầu hùng hục xúc đất.
segment_525|Từng xẻng đất thấm đẫm nước mưa nặng nề được hất xuống.
segment_526|Nhát đập oan nghiệt ban nãy làm cho tái không thể động cựa, mồm miệng méo hẳn đi trong nỗi hoảng kinh tột cùng.
segment_527|Tái cứ nằm đè lên cái xác, trừng mắt nhìn cảnh bạn thân đang bị chôn sống trong bất lực.
segment_528|Một canh giờ trôi qua, huyệt mộ của bà cụ nhâm đã được lấp lại y như cũ.
segment_529|Cẩn thận hơn, danh còn kéo từng vòng hoa viếng xếp lại mộ huyệt.
segment_530|Sau đó thu gom đồ nghề, bỏ cả mấy hũ vàng vào sọt, rồi tìm đường tắt quay trở lại căn nhà nơi triền đê.
segment_531|Tắm táp xong xuôi, thấy thời gian đã đổ về đầu canh năm.
segment_532|Danh không chậm chân, đem hết vàng vọt cho vào trong một cái bọc vải.
segment_533|Đoạn tháo dây cột đò, xuôi dòng bỏ đi xứ khác.
segment_534|Tới hạ nguồn sông, thấy đã cách làng cũ cả mấy trăm dặm, danh mới yên tâm trong lòng.
segment_535|Nhưng bản tính là một con cáo già gian manh, gã tiếp tục mua một con ngựa, rong ruổi thêm nửa tháng trời, tới tận cổng chiêm định rồi mới tìm tới một ngôi làng nọ.
segment_536|Sau khi giới thiệu mình là một thương buôn muốn về đây để mua đất tậu trâu, xin làm con dân trong làng.
segment_537|Lại thấy số tiền danh đem ra biếu xén lớn quá, vậy nên tay chánh tổng làng ấy đã gật đầu cho gã nhập sổ Đinh với tên họ hoàn toàn mới là Lý Văn Củ.
segment_538|Yên ổn ở làng mới, danh bắt đầu mua đất dựng nhà, cơ ngơi năm gian to cao đồ sộ, tường rào đá ong, mái ngói tường vôi làm ai nấy đều thèm thuồng.
segment_539|Sau khi an cư, danh tiếp tục mua thêm năm mẫu đất.
segment_540|Trong nhà mướn hẳn tám đầy tớ, bắt đầu sống những ngày tháng thảnh thơi.
segment_541|Cũng kể từ khi nhập sổ điền làng này, gã bỏ hẳn thói cờ bạc như muốn đoạn tuyệt với quá khứ tối tăm.
segment_542|Từ một kẻ tâm cơ xảo huyệt, nay danh như lột xác thành một người khác, với vỏ bọc hoàn hảo là một ông bá hiền lương đôn hậu.
segment_543|Nhưng ngày vui ngắn chẳng tầy gang.
segment_544|Đúng 100 ngày từ sau đêm quật mả đó.
segment_545|Những chuyện kinh hoàng đã bắt đầu tìm về và đáng sợ hơn là xuất hiện ngay lúc trời còn chiều tà chứ chưa tối hẳn.
segment_546|Từ dạo về làng này nhập cư, danh trong thân phận mới là củ, luôn tỏ ra là một người biết trước biết sau, kính trên nhường dưới.
segment_547|Thêm việc gia sản kếch xù, tiền bạc nhiều vạn bội, thành ra trong làng ít nhiều gã cũng gầy dựng được chút danh tiếng.
segment_548|Cũng vì lẽ đó nên trong những buổi họp làng, gã đều được ngồi chung mâm với đám chánh tổng, luận bàn thế sự, bày góp ý kiến cho làng.
segment_549|Chiều hôm đó, khi thời gian đã đổ về đầu giờ dậu, dáng Tà dương còn quét một màu u buồn xuống khoảng sân gạch trước sân đình.
segment_550|Cũng là lúc gã cùng đám hương thân chia tay nhau ai về nhà nấy.
segment_551|Một mình chống ba to đi trên con đường đất, Danh Dương Dương tự đắc, nghĩ tới buổi hẹn hò tối nay với cô đào hát mà gã mới làm quen.
segment_552|Đang ê a hát mấy câu sẩm trong họng.
segment_553|Đột nhiên gã giật mình ngoái lại khi nghe có tiếng ai đó gọi tên mình.
segment_554|Mà là gọi một tiếng.
segment_555|Thanh âm ấy cất lên sâu thẳm, nhẹ như gió thoảng và ngân dài trong chiều buồn.
segment_556|Danh ơi.
segment_557|Theo phản xạ tự nhiên, gã quay ngoắt đầu lại, nhìn ra sau lưng, gã chẳng thấy có bóng dáng ai.
segment_558|Chỉ có con đường đất đỏ ngập trong dáng chiều tà và hai lũy tre im lìm rũ bóng nối dài tới tận cổng làng.
segment_559|Danh định thần một lúc rồi lẩm bẩm.
segment_560|Làm gì có ai ở sau lưng?
segment_561|Chẳng lẽ là mình nghe nhầm?
segment_562|Quái lạ thật.
segment_563|Nghĩ vậy nên gã đã quay người tiếp tục cất bước trở về nhà.
segment_564|Nhưng vừa quay mặt lại, gã chợt giật mình khi thấy một người dáng dấp tàn tạ, bộ dạng hệt như đám khất dân với tấm lưng hơi còng và mái tóc bạc rối bù còn nhỏ nước tong tỏng.
segment_565|Như vừa mới ngã ở sông lên.
segment_566|Kẻ ăn mày ấy đang đi theo hướng ngược lại với gã.
segment_567|Mới thấy người ăn mày này, danh đã cảm thấy hơi rờn rợn.
segment_568|Tấm thân gầy nhẳng, quần áo rách rưới, hằn rõ những đường cào dọc ngang.
segment_569|Đã vậy, trên bộ áo màu cháo lòng mà kẻ ăn mày này đang mặc, còn loang lổ những vệt sâu sậm như màu máu khô.
segment_570|Nhưng hơn hết, người ăn mày này đem lại cho gã một cảm giác gì đó rất kỳ quái, vừa lạ mà vừa quen.
segment_571|Trong thoáng giây nào đó, danh cảm tưởng gã đang đối diện với một linh hồn bị đọa đầy chứ chẳng phải là người sống.
segment_572|Giây phút giật mình đi qua, danh rợ bước tiến qua người ăn mày và giây phút đó gã mới cảm thấy lợm giọng vì một thứ mùi tanh tanh thối khắm sộc tới.
